Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
12/11/2024 16:46:48,NOCODE TECHNOLOGIES LLP,Others,Market competition,3.0,Partially,3.0,Better infrastructure,"Boosting credibility and visibility, Limited impact or bureaucratic delays","Retention and competition, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Government support & startup ecosystem, Others",Less competetive compared to larger hubs,Blockchain and fintech,30-40%,Health Tech,10-20%
09/22/2024 19:54:35,MOJGENIE  SOLUTIONS,Fintech,"Access to funding, Hiring talent, Regulatory hurdles",2.0,No,3.0,"Policy reforms, More access to funding",Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,IT/ITes,10-20%
01/01/2025 16:27:25,SOOCHER HEALTH CARE SOLUTION ,HealthTech,"Hiring talent, Regulatory hurdles",2.0,Partially,3.0,"More access to funding, Better infrastructure, Improved networking oppurtunities","Access to networks and partnerships, Limited impact or bureaucratic delays",Limited industry exposure,"Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Less competetive compared to larger hubs,"Sustainable and green technologies, Health tech and telemedicine",30-40%,Health Tech,10-20%
01/04/2025 22:31:23,BUILDING BLEND PVT LTD,Fintech,"Access to funding, Regulatory hurdles",2.0,No,3.0,"Policy reforms, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,IT/ITes,10-20%
10/11/2024 04:25:40,Fedo Health Technologies ,HealthTech,"Regulatory hurdles, Infrastructure issues",3.0,Yes,4.0,"Improved networking oppurtunities, Others","Crucial support for early stages, Access to networks and partnerships",Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Artificial intelligence and machine learning,40-50%,Edtech,20-30%
09/15/2024 04:08:01,Payoman Private Limited,Fintech,"Access to funding, Regulatory hurdles",3.0,No,3.0,"Policy reforms, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",5.0,Skilled workforce,Less competetive compared to larger hubs,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
10/04/2024 05:42:03,NittyGritti Ai Solution Pvt Ltd,Artificial Intelligence,Access to funding,3.0,Partially,4.0,Policy reforms,Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,4.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,
10/13/2024 08:12:01,Cloudsek Information Security Pvt Ltd,Artificial Intelligence,Access to funding,3.0,Partially,4.0,Better infrastructure,Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,30-40%
12/04/2024 22:21:07,Multiply IT services pvt ltd,Artificial Intelligence,"Access to funding, Hiring talent",4.0,Yes,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
01/04/2025 01:52:03,MYM INFOTECH LLP,Others,"Hiring talent, Market competition, Regulatory hurdles",3.0,Partially,4.0,"Better infrastructure, Improved networking oppurtunities",Access to networks and partnerships,"Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Artificial intelligence and machine learning,20-30%,Health Tech,20-30%
10/21/2024 14:19:23,ALPHAVOGUE (OPC) PRIVATE LIMITED,IOT,Infrastructure issues,2.0,No,3.0,Better infrastructure,Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure",Lack of Investor Networks,2.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Fintech,upto 10%
11/09/2024 23:10:41,Accelmove Dynamics,Edtech,Access to funding,4.0,Partially,4.0,Better infrastructure,Crucial support for early stages,"Retention and competition, Limited industry exposure","Lack of Investor Networks, Investors hesitant to invest in early-stage startups",5.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
11/16/2024 07:20:48,Estrrado Technologies,Edtech,"Access to funding, Infrastructure issues",3.0,Partially,2.0,"More access to funding, Better infrastructure, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,4.0,"Skilled workforce, Quality of life",Less competetive compared to larger hubs,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
09/23/2024 17:15:07,Prawnrx healthcare pvt ltd,HealthTech,"Access to funding, Hiring talent",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,Health Tech,20-30%
11/01/2024 04:31:54,Finprov learning pvt ltd,Edtech,"Hiring talent, Market competition",2.0,Partially,3.0,"More access to funding, Better infrastructure","Boosting credibility and visibility, Access to networks and partnerships","Skill gap and talent shortage, Limited industry exposure",Complex procedures or regulations that make it harder to pitch to investors,3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
12/21/2024 19:46:34,Kingspin Technologies Services Pvt Ltd,IT/ITeS,"Access to funding, Market competition, Regulatory hurdles",3.0,No,3.0,"Policy reforms, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Retention and competition, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Blockchain and fintech,upto 10%,Fintech,upto 10%
10/13/2024 07:01:36,CENTRE C EDTECH,Edtech,Hiring talent,3.0,No,3.0,More access to funding,Boosting credibility and visibility,Retention and competition,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,Sustainable and green technologies,,IOT,upto 10%
09/13/2024 04:23:44,Solspero Solutions,IT/ITeS,"Access to funding, Hiring talent",1.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition","Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,Health Tech,20-30%
11/18/2024 13:55:23,Infinigo technologies pvt ltd,IOT,"Access to funding, Hiring talent, Market competition",3.0,Partially,2.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,10-20%
01/16/2025 02:20:24,WIZARD FLAIR PRIVATE LIMITED ,Others,"Market competition, Regulatory hurdles",2.0,No,3.0,"More access to funding, Improved networking oppurtunities","Boosting credibility and visibility, Access to networks and partnerships",Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,4.0,"Quality of life, Others",Highly competitive in certain sectors,"Sustainable and green technologies, Health tech and telemedicine",30-40%,Adtech,10-20%
09/03/2024 06:36:31,VISUAL WIZARDS,IT/ITeS,Market competition,3.0,No,4.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Boosting credibility and visibility, Limited impact or bureaucratic delays","Retention and competition, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",4.0,"Quality of life, Social infrastructure & connectivity",Collaborative more than competetive,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,IT/ITes,10-20%
10/15/2024 23:19:08,COMPREHEALTH TECHNOLOGIES PRIVATE LIMITED,HealthTech,Access to funding,2.0,No,2.0,"More access to funding, Better infrastructure",Access to networks and partnerships,Skill gap and talent shortage,Lack of Investor Networks,2.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,10-20%
11/05/2024 01:31:40,Koderfin Consultants,Edtech,Access to funding,3.0,No,3.0,More access to funding,Crucial support for early stages,Limited industry exposure,Investors hesitant to invest in early-stage startups,3.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
11/28/2024 06:14:46,Messengerify Labs Pvt Ltd,IT/ITeS,Access to funding,3.0,Partially,3.0,"Policy reforms, More access to funding",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Sustainable and green technologies,40-50%,IOT,30-40%
11/18/2024 23:49:05,Alphageek Enterprises Private Limited,IOT,"Hiring talent, Regulatory hurdles",2.0,No,2.0,"Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships",Skill gap and talent shortage,Lack of Investor Networks,2.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
09/24/2024 16:46:01,PLATANUS LABS LLP,Others,Regulatory hurdles,2.0,No,2.0,"Policy reforms, More access to funding",Limited impact or bureaucratic delays,Work culture and migration,"Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors",2.0,Government support & startup ecosystem,Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Blockchain and fintech",30-40%,Adtech,20-30%
01/20/2025 08:43:02,synergy systematic solution llp,Fintech,"Access to funding, Market competition",3.0,Partially,3.0,"Policy reforms, More access to funding",Access to networks and partnerships,Retention and competition,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,20-30%
10/02/2024 11:56:04,sanscript technologies pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
12/24/2024 19:16:23,ADPUMB  PRIVATE LIMITED ,Others,Hiring talent,1.0,Partially,3.0,"Better infrastructure, Improved networking oppurtunities","Boosting credibility and visibility, Limited impact or bureaucratic delays",Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,Blockchain and fintech,30-40%,Adtech,10-20%
10/10/2024 10:38:49,Medgenome Labs Pvt Ltd,HealthTech,"Regulatory hurdles, Infrastructure issues",3.0,Partially,3.0,Better infrastructure,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,30-40%
01/04/2025 08:52:14,Humble Innovations Pvt Ltd,IOT,Access to funding,3.0,Yes,3.0,More access to funding,Access to networks and partnerships,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Government support & startup ecosystem,Moderately competitive but growing,Sustainable and green technologies,above 50%,Fintech,30-40%
10/24/2024 10:50:08,Packapeer academy pvt ltd,Edtech,Access to funding,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,Sustainable and green technologies,40-50%,IT/ITes,30-40%
11/26/2024 03:01:47,Gold Dimensions Private LImited,Fintech,Regulatory hurdles,4.0,Yes,4.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IOT,upto 10%
09/08/2024 20:37:47,Living Together Matrimony ,Others,"Access to funding, Market competition, Regulatory hurdles",2.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,Fintech,10-20%
10/11/2024 19:22:28,VIBGYOR GLOBAL WEB SOLUTION PRIVATE LIMITED ,Others,Infrastructure issues,2.0,No,2.0,"Better infrastructure, Improved networking oppurtunities",Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,Government support & startup ecosystem,Collaborative more than competetive,Sustainable and green technologies,30-40%,Edtech,20-30%
01/20/2025 03:26:55,High Green Herbals LLP,HealthTech,Access to funding,3.0,Yes,3.0,Improved networking oppurtunities,Crucial support for early stages,Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IOT,upto 10%
12/05/2024 02:48:00,Opulance Technologies Pvt Ltd,Artificial Intelligence,"Hiring talent, Market competition",2.0,No,3.0,"More access to funding, Improved networking oppurtunities",Access to networks and partnerships,"Skill gap and talent shortage, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Quality of life, Others",Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,Fintech,upto 10%
01/29/2025 11:18:01,Verteil Technologies Pvt Ltd,IT/ITeS,Hiring talent,4.0,Yes,4.0,"Better infrastructure, Improved networking oppurtunities",Crucial support for early stages,Limited industry exposure,Investors hesitant to invest in early-stage startups,3.0,Government support & startup ecosystem,Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech",40-50%,Edtech,20-30%
10/08/2024 05:47:38,MIND MITRA PRIVATE LIMITED ,HealthTech,Hiring talent,4.0,No,4.0,"Improved networking oppurtunities, Others",Access to networks and partnerships,Work culture and migration,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",4.0,"Quality of life, Social infrastructure & connectivity",Collaborative more than competetive,"Sustainable and green technologies, Blockchain and fintech",20-30%,Health Tech,20-30%
10/28/2024 19:06:14,MATHSBEE LEARNING APP PRIVATE LIMITED,Edtech,"Access to funding, Market competition, Regulatory hurdles, Infrastructure issues",4.0,No,3.0,More access to funding,Boosting credibility and visibility,"Retention and competition, Limited industry exposure",Investors hesitant to invest in early-stage startups,4.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
01/22/2025 14:07:30,Prayaga scientific laboratories pvt ltd,HealthTech,"Hiring talent, Market competition",3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IT/ITes,30-40%
10/15/2024 20:29:45,WOLFO PRIVATE LIMITED ,HealthTech,"Hiring talent, Regulatory hurdles",2.0,Partially,3.0,"Better infrastructure, Improved networking oppurtunities",Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,4.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Collaborative more than competetive,"Blockchain and fintech, Health tech and telemedicine",above 50%,Health Tech,20-30%
10/17/2024 20:20:13,TRYASRA TECH SOLUTIONS Pvt Ltd,Edtech,Market competition,4.0,Yes,3.0,Policy reforms,Access to networks and partnerships,Retention and competition,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
09/25/2024 00:49:40,ALL SPACE TECHNOLOGIES PRIVATE LIMITED,Others,Infrastructure issues,4.0,No,2.0,Improved networking oppurtunities,Limited impact or bureaucratic delays,"Retention and competition, Work culture and migration",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,"Skilled workforce, Social infrastructure & connectivity",Collaborative more than competetive,Blockchain and fintech,30-40%,Health Tech,10-20%
01/07/2025 14:19:55,11,IT/ITeS,Access to funding,4.0,,,,,,,3.0,,,,,,
12/11/2024 09:30:21,Redwert Engineering Privaate Limited,HealthTech,Access to funding,3.0,No,3.0,"Policy reforms, Better infrastructure",Boosting credibility and visibility,"Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,"Quality of life, Social infrastructure & connectivity",Less competetive compared to larger hubs,Health tech and telemedicine,10-20%,IT/ITes,upto 10%
10/02/2024 10:43:11,c4career learning solutions ,Edtech,"Hiring talent, Market competition",3.0,Yes,4.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,Health Tech,upto 10%
09/11/2024 06:37:43,GBIRD PRIVATE LIMITED,IOT,"Hiring talent, Regulatory hurdles, Infrastructure issues",3.0,No,3.0,Improved networking oppurtunities,Crucial support for early stages,"Limited industry exposure, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,Quality of life,Moderately competitive but growing,Blockchain and fintech,upto 10%,IT/ITes,upto 10%
09/09/2024 02:28:56,Wager International Pvt Ltd,HealthTech,"Access to funding, Infrastructure issues",3.0,No,3.0,Policy reforms,Access to networks and partnerships,Limited industry exposure,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",2.0,Quality of life,Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,upto 10%
09/30/2024 03:28:41,Hoppscotch India Pvt Ltd,IT/ITeS,"Access to funding, Infrastructure issues",3.0,Partially,3.0,More access to funding,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Health tech and telemedicine",40-50%,IOT,30-40%
11/18/2024 08:05:56,Lead maturation India pvt ltd,Fintech,"Access to funding, Market competition",3.0,Yes,3.0,More access to funding,Access to networks and partnerships,Limited industry exposure,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
11/14/2024 06:38:04,Conroot Tech Pvt Ltd,IOT,"Access to funding, Hiring talent, Market competition, Infrastructure issues",2.0,No,3.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Limited industry exposure, Work culture and migration","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,Edtech,10-20%
01/15/2025 08:11:46,Funpreneurs Ventures,Fintech,"Access to funding, Market competition, Regulatory hurdles",2.0,Partially,5.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships, Limited impact or bureaucratic delays",Retention and competition,"Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
09/17/2024 21:25:55,Wirehat Private Limited,IOT,Hiring talent,4.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,"Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",1.0,Quality of life,Moderately competitive but growing,Sustainable and green technologies,10-20%,Edtech,upto 10%
12/06/2024 10:07:37,YELLOZ INNOVATIONS PRIVATE LIMITED ,IT/ITeS,Regulatory hurdles,4.0,No,3.0,Better infrastructure,Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,"Quality of life, Government support & startup ecosystem",Collaborative more than competetive,Sustainable and green technologies,20-30%,,10-20%
01/07/2025 22:33:39,Liz intelligent solutions pvt ltd,HealthTech,"Hiring talent, Market competition",3.0,Partially,4.0,"Policy reforms, Better infrastructure",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
01/18/2025 21:40:23,ASTOUNDIS INNOVATIONS PRIVATE LIMITED,Edtech,Market competition,3.0,No,4.0,More access to funding,Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
11/09/2024 21:47:20,Consyst Digital Industries,IOT,"Access to funding, Hiring talent, Infrastructure issues",4.0,No,4.0,"Policy reforms, Improved networking oppurtunities",Crucial support for early stages,"Skill gap and talent shortage, Retention and competition","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",5.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/23/2024 18:36:15,Liz intelligent solutions pvt ltd,HealthTech,"Hiring talent, Market competition",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
11/10/2024 17:21:35,Edurupt Technologies,Edtech,"Hiring talent, Market competition",3.0,No,3.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,3.0,Others,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
09/10/2024 19:35:44,teqzap future tech solutions pvt ltd,Edtech,"Hiring talent, Market competition",3.0,Yes,3.0,More access to funding,"Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
12/21/2024 10:58:19,soloroute llp,Others,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Skilled workforce, Quality of life",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
10/25/2024 19:55:44,PHONOLOGIX HEALTH SOLUTIONS,HealthTech,"Hiring talent, Regulatory hurdles, Infrastructure issues",3.0,Partially,3.0,"Policy reforms, Better infrastructure","Boosting credibility and visibility, Limited impact or bureaucratic delays","Skill gap and talent shortage, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,Fintech,10-20%
10/10/2024 13:48:39,DELAB RESEARCH Pvt Ltd,IOT,Hiring talent,2.0,No,3.0,Better infrastructure,Access to networks and partnerships,Limited industry exposure,Lack of Investor Networks,2.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
11/25/2024 21:44:37,Flycatch Infotech,Artificial Intelligence,"Access to funding, Hiring talent",2.0,No,2.0,"Policy reforms, More access to funding, Better infrastructure",Crucial support for early stages,"Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
10/02/2024 20:38:39,smart e3 solutions pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
01/16/2025 21:27:29,Enzign Informatics,IOT,"Access to funding, Hiring talent, Infrastructure issues",4.0,No,4.0,"Policy reforms, More access to funding, Better infrastructure",Crucial support for early stages,"Retention and competition, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,Skilled workforce,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Health tech and telemedicine",10-20%,IT/ITes,10-20%
10/11/2024 23:03:03,Dhan Sethu  Private Limited,Fintech,"Access to funding, Hiring talent",4.0,Yes,4.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition, Limited industry exposure",Complex procedures or regulations that make it harder to pitch to investors,3.0,Social infrastructure & connectivity,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,Health Tech,10-20%
11/01/2024 17:15:54,ISRT P LEARN,Edtech,"Access to funding, Market competition",3.0,No,3.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech",upto 10%,IT/ITes,upto 10%
